Trial,Bandit,Reward,Algorithm
1,1,0,EpsilonGreedy
2,1,0,EpsilonGreedy
3,1,0,EpsilonGreedy
4,1,0,EpsilonGreedy
5,1,0,EpsilonGreedy
6,3,0,EpsilonGreedy
7,1,0,EpsilonGreedy
8,1,0,EpsilonGreedy
9,1,0,EpsilonGreedy
10,1,0,EpsilonGreedy
11,1,0,EpsilonGreedy
12,1,0,EpsilonGreedy
13,1,0,EpsilonGreedy
14,1,0,EpsilonGreedy
15,1,0,EpsilonGreedy
16,1,0,EpsilonGreedy
17,1,0,EpsilonGreedy
18,1,0,EpsilonGreedy
19,1,0.1,EpsilonGreedy
20,1,0,EpsilonGreedy
21,1,0,EpsilonGreedy
22,1,0,EpsilonGreedy
23,1,0,EpsilonGreedy
24,1,0,EpsilonGreedy
25,1,0,EpsilonGreedy
26,1,0,EpsilonGreedy
27,1,0,EpsilonGreedy
28,1,0,EpsilonGreedy
29,1,0,EpsilonGreedy
30,1,0,EpsilonGreedy
31,1,0,EpsilonGreedy
32,1,0,EpsilonGreedy
33,1,0,EpsilonGreedy
34,1,0,EpsilonGreedy
35,1,0,EpsilonGreedy
36,1,0,EpsilonGreedy
37,1,0,EpsilonGreedy
38,1,0,EpsilonGreedy
39,1,0,EpsilonGreedy
40,1,0,EpsilonGreedy
41,1,0.1,EpsilonGreedy
42,1,0,EpsilonGreedy
43,1,0,EpsilonGreedy
44,1,0,EpsilonGreedy
45,1,0,EpsilonGreedy
46,1,0,EpsilonGreedy
47,1,0,EpsilonGreedy
48,1,0,EpsilonGreedy
49,1,0,EpsilonGreedy
50,1,0,EpsilonGreedy
51,1,0,EpsilonGreedy
52,1,0,EpsilonGreedy
53,1,0,EpsilonGreedy
54,1,0,EpsilonGreedy
55,1,0,EpsilonGreedy
56,1,0.1,EpsilonGreedy
57,1,0,EpsilonGreedy
58,1,0.1,EpsilonGreedy
59,1,0,EpsilonGreedy
60,1,0,EpsilonGreedy
61,1,0,EpsilonGreedy
62,1,0,EpsilonGreedy
63,1,0,EpsilonGreedy
64,1,0,EpsilonGreedy
65,1,0,EpsilonGreedy
66,1,0,EpsilonGreedy
67,1,0,EpsilonGreedy
68,1,0,EpsilonGreedy
69,1,0,EpsilonGreedy
70,1,0,EpsilonGreedy
71,1,0,EpsilonGreedy
72,1,0,EpsilonGreedy
73,1,0,EpsilonGreedy
74,1,0,EpsilonGreedy
75,1,0,EpsilonGreedy
76,1,0,EpsilonGreedy
77,1,0,EpsilonGreedy
78,1,0,EpsilonGreedy
79,1,0,EpsilonGreedy
80,1,0,EpsilonGreedy
81,1,0,EpsilonGreedy
82,1,0,EpsilonGreedy
83,1,0,EpsilonGreedy
84,1,0,EpsilonGreedy
85,1,0,EpsilonGreedy
86,1,0,EpsilonGreedy
87,1,0,EpsilonGreedy
88,1,0,EpsilonGreedy
89,1,0,EpsilonGreedy
90,1,0,EpsilonGreedy
91,1,0,EpsilonGreedy
92,1,0,EpsilonGreedy
93,1,0,EpsilonGreedy
94,1,0,EpsilonGreedy
95,1,0,EpsilonGreedy
96,1,0,EpsilonGreedy
97,1,0,EpsilonGreedy
98,1,0,EpsilonGreedy
99,1,0,EpsilonGreedy
100,1,0,EpsilonGreedy
101,1,0,EpsilonGreedy
102,1,0,EpsilonGreedy
103,1,0,EpsilonGreedy
104,1,0,EpsilonGreedy
105,1,0,EpsilonGreedy
106,1,0,EpsilonGreedy
107,1,0,EpsilonGreedy
108,1,0,EpsilonGreedy
109,1,0,EpsilonGreedy
110,1,0,EpsilonGreedy
111,1,0,EpsilonGreedy
112,1,0,EpsilonGreedy
113,1,0,EpsilonGreedy
114,1,0,EpsilonGreedy
115,1,0.1,EpsilonGreedy
116,1,0,EpsilonGreedy
117,1,0,EpsilonGreedy
118,1,0,EpsilonGreedy
119,1,0,EpsilonGreedy
120,1,0,EpsilonGreedy
121,1,0,EpsilonGreedy
122,1,0,EpsilonGreedy
123,1,0,EpsilonGreedy
124,1,0,EpsilonGreedy
125,1,0,EpsilonGreedy
126,1,0,EpsilonGreedy
127,1,0,EpsilonGreedy
128,1,0.1,EpsilonGreedy
129,1,0,EpsilonGreedy
130,1,0,EpsilonGreedy
131,1,0,EpsilonGreedy
132,1,0,EpsilonGreedy
133,1,0,EpsilonGreedy
134,1,0,EpsilonGreedy
135,1,0,EpsilonGreedy
136,1,0,EpsilonGreedy
137,1,0,EpsilonGreedy
